Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
1,Point,Station d'épuration de Val-d'Or,84180-1,829,X0801596,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,5,1985-11-01,24967,"13944,5",15540,1373,"48,115","-77,880,833","De Montigny, Lac","Harricana, Rivière",BA; DÉC SEC; DÉG GR; DESS AÉRÉ,<Nul>,19
2,Point,Station d'épuration de Rouyn-Noranda (Noranda-Nord),86040-2,318,X0801587,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1993-02-01,2820,"1584,7",1051,141,"48,272,852","-79,015,329","Osisko, Lac","Outaouais, Rivière des",DÉG GR; EA (3 cell.); PD,<Nul>,5
3,Point,Station d'épuration de Saint-Lambert (Abitibi),87120-1,378,X2127674,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2012-10-01,210,"75,6","75,6","10,5","48,947,778","-79,460,556","Morin, Cours d'eau","Moose, River",FS(F); ROS,<Nul>,1
4,Point,Station d'épuration de Ville-Marie (Duhamel),75700-1,616,X0801597,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1987-09-01,2586,"1940,7",2200,229,"47,31","-79,463,611","Témiscamingue, Lac","Outaouais, Rivière des",DÉG GR; DESS; EA (3 cell.),<Nul>,6
5,Point,Station d'épuration de Duparquet,87005-1,146,X2047864,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2000-04-01,715,"265,6",499,"39,2","48,498,611","-79,225",<Nul>,"Moose, River",EA (3 cell.); PD,<Nul>,2
6,Point,Station d'épuration de Saint-Édouard-de-Fabre,83300-1,213,X0801590,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1991-10-01,413,"289,1",235,19,"47,193,889","-79,387,222","Demers, Cours d'eau","Outaouais, Rivière des",DÉG GR; ENA (3 cell.); PD,<Nul>,1
7,Point,Station d'épuration de Notre-Dame-du-Nord,83500-1,176,X0801584,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-08-01,1229,"1096,4",1120,66,"47,586,944","-79,486,111","Outaouais, Rivière des","Outaouais, Rivière des",DÉG GR; DESS AÉRÉ; EA (3 cell.); PD,<Nul>,4
8,Point,Station d'épuration d'Amos,84455-1,801,X0801574,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1997-10-01,15176,9322,9832,930,"48,595","-78,109,722","Harricana, Rivière","Harricana, Rivière",DÉG GR; EA (2 cell.); PD,<Nul>,18
9,Point,Station d'épuration de Rouyn-Noranda,86040-1,704,X0801586,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1998-11-01,26814,"15264,6",15105,2530,"48,246,667","-789,625","Osisko, Ruisseau","Outaouais, Rivière des",EA (4 cell.); PD,<Nul>,31
10,Point,Station d'épuration de Saint-Eugène-de-Guigues,85085-1,338,X2048051,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2004-10-01,224,"152,5",122,"11,4","47,506,111","-79,373,889","Cameron, Ruisseau","Outaouais, Rivière des",ENA (1 cell.); PD,<Nul>,1
11,Point,Station d'épuration de La Sarre,87090-1,644,X0801580,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1993-12-01,9290,"5179,3",4813,557,"488,175","-79,224,444","Sud, Rivière du","Moose, River",DÉG GR; EA (2 cell.); PD,<Nul>,9
12,Point,Station d'épuration de Saint-Mathieu-d'Harricana,84435-1,816,X0801592,<Nul>,Fosse septique,Fosse septique,Très petite,1,1985-09-01,144,"27,8","37,4","7,8","48,475,556","-78,140,278",<Nul>,"Harricana, Rivière",FG; FS; FS,<Nul>,0
13,Point,Station d'épuration de Laverlochère,85050-1,468,X2047867,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,2000-04-01,660,"736,4",894,"96,6","47,424,444","-792,925","Chartier, Cours d'eau","Outaouais, Rivière des",EA (3 cell.); PD,<Nul>,1
14,Point,Station d'épuration de Rouyn-Noranda (Granada),83670-1,529,X0801588,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1985-12-01,1100,"368,3",334,55,"48,191,389","-79,047,778","Gamble, Lac","Outaouais, Rivière des",DÉG GR; EA (2 cell.); PD,<Nul>,3
15,Point,Station d'épuration d'Angliers,85080-1,4,X0801575,<Nul>,Dégrillage,Dégrilleur fin,Très petite,2,1993-01-01,240,320,320,12,"47,551,404","-79,242,131","Outaouais, Rivière des (voir 04300000)","Outaouais, Rivière des",DEG,<Nul>,2
16,Point,Station d'épuration de Val-d'Or (Val-Senneville),89008-3,899,X2159676,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2017-07-01,165,78,78,"11,3","48,192,233","-77,649,693","Bourlamaque, Rivière","Harricana, Rivière",ENA (1 cell.); PD,<Nul>,1
17,Point,Station d'épuration de Senneterre,84530-1,453,X0801593,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-10-01,4020,"2780,5",2685,201,"48,388,889","-77,223,056","Bell, Rivière","Nottaway, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,9
18,Point,Station d'épuration de Val-d'Or (Ile Siscoe),89008-2,818,X2154140,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2005-10-01,88,"35,1","34,7","4,4","4,814,617","-7,787,549","De Montigny, Lac","Harricana, Rivière",DÉC SEC; BD; FS(F); PD; UV,<Nul>,0
19,Point,Station d'épuration de Landrienne,88035-1,562,X2108713,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2013-10-01,718,422,422,"35,9","48,548,889","-77,935,556","Peter-Brown, Rivière","Harricana, Rivière",ENA (1 cell.); PD,<Nul>,3
20,Point,Station d'épuration de Taschereau,87042-1,701,X2066156,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2005-10-01,616,"406,4",380,"32,9","48,652,222","-78,693,889","Bellefeuille, Rivière","Moose, River",ERR (2 cell.); PD,<Nul>,5
21,Point,Station d'épuration de Rouyn-Noranda (Cadillac),86042-7,327,X2139407,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2013-11-01,939,518,518,47,"4,822,135","-78,378,366","Beauchemin, Ruisseau","Outaouais, Rivière des",EA (3 cell.); PD,<Nul>,1
22,Point,Station d'épuration de Dupuy,87085-1,25,X0801577,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1999-02-01,712,"452,3",441,"38,2","48,822,222","-79,355,833","Morasse, Cours d'eau","Moose, River",EA (2 cell.); PD,<Nul>,2
23,Point,Station d'épuration de Saint-Dominique-du-Rosaire,88065-1,886,X2140440,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2014-09-01,178,63,"62,4","8,9","48,761,224","-78,110,489","Davy, Rivière","Harricana, Rivière",BE; FS(F); ROS,<Nul>,2
24,Point,Station d'épuration de Lorrainville,85037-1,42,X2047869,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2001-12-01,1432,"750,8",1047,197,"47,358,056","-79,365,556","Dumais, Ruisseau","Outaouais, Rivière des",EA (3 cell.); PD,<Nul>,1
25,Point,Station d'épuration de Béarn,85020-1,116,X2047863,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Petite,3,2005-04-01,1000,"640,1",533,"46,2","47,301,667","-79,327,778",<Nul>,"Outaouais, Rivière des",ENA (2 cell.),<Nul>,1
26,Point,Station d'épuration de Val-d'Or (Louvicourt),89008-1,485,X2016706,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,1,2004-11-01,244,"48,8","98,9","15,6","48,074,167","-77,382,778","Endormi, Lac","Nottaway, Rivière",ERR (4 cell.); PD,<Nul>,2
27,Point,Station d'épuration de Trécesson (Villemontel),88075-1,493,X0801595,<Nul>,Autres,Filtres à sable intermittents enfouis,Très petite,1,1998-05-01,120,"38,6",42,"7,9","48,624,167","-78,362,778","Coderre, Cours d'eau","Harricana, Rivière",FIE; FS; PD,<Nul>,2
28,Point,Station d'épuration de Saint-Félix-de-Dalquier,88060-1,551,X0801591,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1982-01-01,480,"346,8",76,<Nul>,"48,679,444","-78,105,556","Lemieux, Ruisseau","Harricana, Rivière",EA (2 cell.),<Nul>,1
29,Point,Station d'épuration de Saint-Bruno-de-Guigues,83380-1,204,X0801589,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1992-06-01,611,"484,2",411,36,"47,461,944","-79,455,833","Abbica, Ruisseau","Outaouais, Rivière des",ENA (3 cell.); PD,<Nul>,2
30,Point,Station d'épuration de Palmarolle,87025-1,68,X0801585,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2003-12-01,825,523,438,"94,5","48,666,667","-792,075","Dagenais, Rivière","Moose, River",EA (2 cell.); PD,<Nul>,3
31,Point,Station d'épuration de Launay,84420-1,229,X0801581,<Nul>,Fosse septique,Fosse septique,Très petite,1,1989-07-01,161,37,49,"8,1","4,864,021","-7,853,655","Bédard, Ruisseau","Outaouais, Rivière des",FS,<Nul>,1
32,Point,Station d'épuration de Rouyn-Noranda (Évain),83710-1,155,X0801578,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1992-09-01,2595,"1214,8",1315,130,"48,228,611","-79,129,722","Pelletier, Rivière","Outaouais, Rivière des",DÉG GR; EA (3 cell.); PD,<Nul>,6
33,Point,Station d'épuration de Rouyn-Noranda (Beaudry),86042-1,313,X0801576,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1985-01-01,573,"281,6",227,"46,3","48,111,667","-79,140,556","Saint-Pierre-Rivest, Ruisseau","Outaouais, Rivière des",EA (2 cell.); PD,<Nul>,1
34,Point,Station d'épuration de Barraute,88022-1,542,X0801507,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2002-03-01,1219,"1105,3",1105,61,"48,44","-77,631,944","Laflamme, Rivière","Nottaway, Rivière",EA (2 cell.); PD,<Nul>,7
35,Point,Station d'épuration de Témiscaming (Tembec),83220-1,515,X2048920,Kipawa,Dégrillage,Dégrilleur fin,Moyenne,5,1995-03-01,6632,2791,2791,<Nul>,"46,699,444","-79,096,111","Outaouais, Rivière des","Outaouais, Rivière des",DEG,<Nul>,7
36,Point,Station d'épuration de Malartic,89015-1,656,X0801583,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1997-10-01,4625,2295,3490,307,"48,133,611","-78,091,111","Malartic, Rivière","Harricana, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,5
37,Point,Station d'épuration de Macamic,84365-1,655,X0801582,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-11-01,2000,"1404,2",1066,152,"48,751,667","-78,993,611","Loïs, Rivière","Moose, River",EA (3 cell.); PD,<Nul>,5
38,Point,Station d'épuration de Rouyn-Noranda (Aéroport) ,86042-6,303,X2154136,<Nul>,Disques biologiques,Disques biologiques,Très petite,1,1979-01-01,78,"38,8","38,8","10,2","48,212,231","-78,832,163","Kinojévis, Rivière","Outaouais, Rivière des",BE; DÉC PRIM; DÉC SEC; DÉG GR; BD,<Nul>,1
39,Point,Station d'épuration de Saint-Marc-de-Figuery,88040-1,907,X2158565,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2018-01-01,171,169,169,"8,55","48,458,097","-78,041,222","Paquet, Crique","Harricana, Rivière",ENA (1 cell.); PD,<Nul>,2
40,Point,Station d'épuration de Matagami,99015-1,922,X2063287,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2019-06-01,2500,3515,3515,175,"49,765,655","-7,762,768","Bell, Rivière","Nottaway, Rivière",EA (3 cell.); PD,<Nul>,4
41,Point,Station d'épuration de la Baie-James (Beaucanton),99060-3,716,X2055302,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,2,2009-07-01,200,117,117,<Nul>,"490,925","-79,155","Leslie, Ruisseau","Harricana, Rivière",ENA (1 cell.),<Nul>,0
42,Point,Station d'épuration de Kangiqsualujjuaq,99090-1,761,X0801804,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2006-09-01,728,"116,9",114,"32,8","58,711,654","-66,003,528","Ungava, Baie d'","Ungava, Baie d'",ENA (3 cell.),<Nul>,0
43,Point,Station d'épuration d'Akulivik,99125-1,758,X2014277,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2004-09-01,465,80,78,"20,9","60,835,833","-78,161,389","James et d'Hudson, Baies","James et d'Hudson, Baies",ENA (2 cell.),<Nul>,0
44,Point,Station d'épuration de Kangiqsujuaq,99130-1,875,X0007671,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,1,1984-01-01,614,"97,8",77,31,"61,572,499","-71,920,354","Hudson, Détroit d'","Hudson, Détroit d'",ENA (1 cell.),<Nul>,0
45,Point,Station d'épuration de Quaqtaq,99115-1,876,X0801810,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,1,1984-01-01,333,"51,3",50,<Nul>,"61,050,412","-69,615,394","Hudson, Détroit d'","Hudson, Détroit d'",ENA (1 cell.),<Nul>,0
46,Point,Station d'épuration d'Aupaluk,99105-1,874,X0801800,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,1,1985-09-01,159,"27,1","23,9",8,"59,307,868","-69,594,093","Ungava, Baie d'","Ungava, Baie d'",ENA (1 cell.),<Nul>,0
47,Point,Station d'épuration d'Umiujaq,99080-1,769,X0801813,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2007-01-01,441,"67,7",66,22,"56,559,167","-76,523,333",<Nul>,Trib.56D.33M.17S.-76D.33M.20S.,ENA (1 cell.),<Nul>,0
48,Point,Station d'épuration de Kuujjuaq,99095-1,762,X0801808,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2006-09-01,1890,337,269,"85,1","5,810,797","-68,442,338",<Nul>,"Koksoak, Rivière",ENA (2 cell.),<Nul>,0
49,Point,Station d'épuration de Tasiujaq,99100-1,771,X0801812,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2006-09-01,220,"41,6",21,"9,9","58,720,713","-69,921,953",<Nul>,"Feuilles, Rivière aux",ENA (2 cell.),<Nul>,0
50,Point,Station d'épuration de la Baie-James (Beaucanton),99060-3,902,X2055302,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2018-01-01,200,117,117,<Nul>,"490,925","-79,155","Leslie, Ruisseau","Harricana, Rivière",ENA (1 cell.),<Nul>,0
51,Point,Station d'épuration de Baie-James (Villebois),99060-1,244,X2055303,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,2,2009-07-01,200,118,118,<Nul>,"49,044,722","-79,245","Sauvageau, Cours d'eau","Harricana, Rivière",ENA (1 cell.),<Nul>,2
52,Point,Station d'épuration de la Baie-James (Radisson),99060-4,715,X2045760,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2009-07-01,450,"414,4",1,<Nul>,"53,794,444","-77,600,278","Grande Rivière, La","Grande Rivière, La",EA (2 cell.),<Nul>,0
53,Point,Station d'épuration de Lebel-sur-Quévillon,99005-1,48,X2048804,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1993-12-01,3850,1913,3208,215,"49,031,389","-76,981,944","Quévillon, Rivière","Nottaway, Rivière",DÉG GR; EA (3 cell.),<Nul>,2
54,Point,Station d'épuration de la Baie-James (Val-Paradis),99060-2,901,X2055301,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2018-01-01,190,95,95,<Nul>,"49,162,222","-79,291,111",<Nul>,"Harricana, Rivière",ENA (1 cell.),<Nul>,0
55,Point,Station d'épuration de la Baie-James (Val-Paradis),99060-2,714,X2055301,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,1,2009-07-01,190,95,95,<Nul>,"49,162,222","-79,291,111",<Nul>,"Harricana, Rivière",ENA (1 cell.),<Nul>,0
56,Point,Station d'épuration de Kangirsuk,99110-1,763,X2014274,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2006-09-01,446,"71,5",44,"20,1","6,001,827","-69,993,286","Arnaud, Rivière","Arnaud, Rivière",<Nul>,<Nul>,0
57,Point,Station d'épuration de Baie-James (Villebois),99060-1,903,X2055303,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2018-01-01,200,118,118,<Nul>,"49,044,722","-79,245","Sauvageau, Cours d'eau","Harricana, Rivière",ENA (1 cell.),<Nul>,2
58,Point,Station d'épuration de Chibougamau,98200-1,129,X2048802,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1984-11-01,11595,"14329,4",12465,638,"49,901,667","-74,400,556","David, Ruisseau","Nottaway, Rivière",DÉG GR; DESS; EA (3 cell.),<Nul>,5
59,Point,Station d'épuration d'Inukjuak,99085-1,759,X2046056,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2006-09-01,1037,"324,9",317,"58,8","58,482,252","-78,164,815",<Nul>,<Nul>,ENA (2 cell.),<Nul>,0
60,Point,Station d'épuration d'Ivujivik,99140-1,760,X0801803,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,1,1985-09-01,174,"58,6","26,1","20,9","62,408,333","-77,926,944","James et d'Hudson, Baies","James et d'Hudson, Baies",ENA (1 cell.),<Nul>,0
61,Point,Station d'épuration de Saint-Bonaventure,49125-1,600,X2018071,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2005-12-01,515,"108,4","171,3","26,5","45,963,889","-72,678,333","Vaches, Rivière aux","Saint-François, Rivière",EA (4 cell.); PD,<Nul>,4
62,Point,Station d'épuration de Manseau,38025-1,280,90011560,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1998-07-01,625,"579,9",610,65,"46,378,333","-72,001,667","Chêne, Petite rivière du","Chêne, Petite rivière du",EA (2 cell.),<Nul>,3
63,Point,Station d'épuration de Deschaillons-sur-Saint-Laurent,28790-1,24,X2049454,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-02-01,1157,"805,6",619,58,"46,543,621","-72,088,867","Chêne, Petite rivière du","Chêne, Petite rivière du",EA (4 cell.),<Nul>,3
64,Point,Station d'épuration de Saint-Ferdinand,27350-1,362,X2049449,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1985-11-01,1460,"725,2",1075,370,"46,155","-71,566,111","Bécancour, Rivière","Bécancour, Rivière",EA (3 cell.); PD,<Nul>,2
65,Point,Station d'épuration de Notre-Dame-du-Bon-Conseil,49075-1,82,X2049490,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1996-05-01,1382,"1067,2",904,71,"46,005,556","-72,346,667","Nicolet, Rivière","Nicolet, Rivière",EA (3 cell.); PD,<Nul>,5
66,Point,Station d'épuration de L'Avenir,49025-1,65,X2049481,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2000-08-01,329,"70,8",133,"21,4","45,771,667","-72,315","Grand Ruisseau, Le","Saint-François, Rivière",EA (3 cell.); PD,<Nul>,2
67,Point,Station d'épuration de Bécancour (Secteur Ouest),33320-4,112,X2049445,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1999-03-01,5528,"5259,4",4546,493,"46,365","-72,460,833","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,11
68,Point,Station d'épuration de Saint-Germain-de-Grantham,41730-1,403,90310400,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1986-02-01,1768,"1702,3",1406,264,"45,834,444","-72,558,056","Paré, Ruisseau","Saint-François, Rivière",EA (4 cell.); PD,<Nul>,1
69,Point,Station d'épuration de Bécancour (Gentilly),33320-2,11,X2049440,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1995-02-01,2374,"2409,9",2003,119,"46,411,389","-72,276,667","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; EA (3 cell.),<Nul>,2
70,Point,Station d'épuration de Daveluyville,39155-1,23,X2049453,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1999-12-01,1816,"2379,5",1818,128,"46,214,167","-72,141,667","Bécancour, Rivière","Bécancour, Rivière",EA (2 cell.),<Nul>,5
71,Point,Station d'épuration de Frelighsburg,46010-1,164,X2141140,<Nul>,Autres,Marais artificiel (roseaux),Très petite,2,2012-07-01,252,176,176,"26,5","4,605,468","-72,844,123","Brochets, Rivière aux","Richelieu, Rivière",FS(F); ROS; PD,<Nul>,1
72,Point,Station d'épuration des Saints-Martyrs-Canadiens,39005-1,742,X2117929,<Nul>,Autres,Marais artificiel de type roseaux épurateurs HSS,Très petite,1,2010-11-01,100,"15,5",36,"5,3","45,865,493","-71,556,142",<Nul>,"Nicolet, Rivière",FS; ROS; PD,<Nul>,0
73,Point,Station d'épuration de Chesterville,39030-1,20,X2049635,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1999-03-01,230,"234,2","182,8","16,2","45,958,611","-71,829,167","Dumont, Rivière","Nicolet, Rivière",EA (4 cell.); PD,<Nul>,1
74,Point,Station d'épuration de Saint-Léonard-D'Aston,50042-1,373,X2049518,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1996-02-01,1249,"1774,5",1026,79,"46,110,278","-72,403,056","Nicolet, Rivière","Nicolet, Rivière",EA (3 cell.); PD,<Nul>,4
75,Point,Station d'épuration de Victoriaville,34440-1,671,X2049534,<Nul>,Boues activées,Boues activées,Grande,6,1986-01-01,34125,"32710,7",28852,3600,"46,051,111","-71,976,389","Nicolet, Rivière","Nicolet, Rivière",BA; DÉC SEC; DÉG GR; DESS AÉRÉ; FG; PD,<Nul>,32
76,Point,Station d'épuration de Saint-Célestin (Annaville),33360-1,41,X2049503,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1988-09-01,761,"406,3",321,40,"46,209,167","-72,414,167","Moïse-Poirier, Ruisseau","Bécancour, Rivière",ENA (2 cell.),<Nul>,1
77,Point,Station d'épuration de Sainte-Brigitte-des-Saults,49085-1,328,X2150498,<Nul>,Disques biologiques,Disques biologiques,Très petite,1,2014-12-01,223,"98,8","98,8","15,1","46,025,583","-72,482,523","Saults, Rivière des","Nicolet, Rivière",DÉC SEC; BD; FS; PD; UV,<Nul>,1
78,Point,Station d'épuration de Baie-du-Febvre,50100-1,7,X2049438,<Nul>,Étangs non aérés,Étangs non aérés avec mesure de débit à l'effluent,Très petite,2,1993-12-01,504,"443,9",432,40,"46,145,335","-72,729,189",<Nul>,"Frères, Rivière des",ENA (3 cell.),<Nul>,1
79,Point,Station d'épuration de Kingsey Falls,41120-1,50,90234725,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-03-01,1505,"1051,2",1132,106,"45,861,944","-72,085","Nicolet Sud-Ouest, Rivière","Nicolet, Rivière",EA (3 cell.); PD,<Nul>,1
80,Point,Station d'épuration de Bécancour (Précieux-Sang),33320-3,12,X2049442,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1995-08-01,131,"424,5",250,9,"46,299,444","-72,405,556","Rivière Gagnon, Bras Ouest de la","Godefroy, Rivière",EA (3 cell.),<Nul>,1
81,Point,Station d'épuration de Bécancour (Sainte-Gertrude),33320-1,221,X2049444,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1995-02-01,590,616,309,30,"46,307,222","-72,270,833","Massé, Ruisseau","Gentilly, Rivière",EA (2 cell.); PD,<Nul>,2
82,Point,Station d'épuration d'Inverness,32058-1,185,X2133216,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2006-09-01,304,"102,5",130,22,"46,261,667","-71,516,944",<Nul>,"Bécancour, Rivière",EA (3 cell.); PD,<Nul>,3
83,Point,Station d'épuration de Nicolet,50075-1,729,X2049637,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1997-06-01,7812,"7518,4",10327,620,"46,273,611","-72,619,444","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; EA (4 cell.),<Nul>,10
84,Point,Station d'épuration de Grand-Saint-Esprit,50065-1,30,X2049636,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2001-02-01,354,"504,4",194,19,"46,193,333","-72,526,667","Sud-Ouest du Grand Saint-Esprit, Ruisseau","Marguerite, Rivière",EA (2 cell.),<Nul>,1
85,Point,Station d'épuration de Warwick,34280-1,522,X2049539,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1988-12-01,4220,"2978,3",3200,1051,"45,946,667","-72,006,944","Pins, Rivière des","Nicolet, Rivière",EA (3 cell.); PD,<Nul>,4
86,Point,Station d'épuration de Sainte-Perpétue,33560-1,179,X2049528,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1995-08-01,342,"400,6",397,217,"46,090,556","-72,463,889","Aimé-Dionne, Ruisseau","Nicolet, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,2
87,Point,Station d'épuration de Saint-Wenceslas (SD),33400-1,448,X2049526,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1991-08-01,626,"275,3",202,30,"46,172,778","-72,318,333","Ruisseau Gagnon, Branche Nord du","Bécancour, Rivière",ENA (2 cell.); PD,<Nul>,2
88,Point,Station d'épuration de Saint-Pierre-Baptiste,32050-1,436,X2049523,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2000-08-01,234,"151,7",136,"11,7","46,212,778","-71,624,167","Moulin, Ruisseau du","Bécancour, Rivière",EA (3 cell.); PD,<Nul>,2
89,Point,Station d'épuration de Saint-Cyrille-de-Wendover,49070-2,879,X2049507,<Nul>,Boues activées,Boues activées à réacteur biologique séquentiel,Moyenne,4,2016-07-01,4480,1891,1891,375,"45,941,667","-72,414,444","Chicots, Ruisseau des","Nicolet, Rivière",BA; DÉG GR; PD; UV,<Nul>,1
90,Point,Station d'épuration de Princeville,34470-1,585,X2049500,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1987-05-01,4575,"7347,3",6216,711,"46,205","-71,902,778","Cordon des terres des Sixième et Septième rangs, Cours d'eau","Bécancour, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,7
91,Point,Station d'épuration de Saint-Félix-de-Kingsey,41200-1,356,X2049625,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-10-01,437,"532,9",335,"21,9","45,784,444","-72,195","Desmarais, Ruisseau","Saint-François, Rivière",EA (4 cell.); PD,<Nul>,1
92,Point,Station d'épuration de Wickham,41440-1,919,X2049540,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,2019-04-01,665,"226,6",282,35,"45,785,719","-72,502,043","Saint-Germain, Rivière","Saint-François, Rivière",EA (2 cell.); PD,<Nul>,1
93,Point,Station d'épuration de Wickham,41440-1,517,X2049540,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1995-12-01,665,"226,6",282,35,"45,785,719","-72,502,043","Saint-Germain, Rivière","Saint-François, Rivière",EA (2 cell.); PD,<Nul>,1
94,Point,Station d'épuration de Tingwick,39025-2,482,X2049530,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2015-01-01,478,378,396,36,"45,873,333","-71,941,944",<Nul>,"Nicolet, Rivière",EA (5 cell.); PD,<Nul>,1
