Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
607,Point,Station d'épuration de Les Éboulements (St-Joseph-la-Rive),16048-1,566,X2002795,<Nul>,Dégrillage,Dégrilleur fin,Très petite,2,2003-07-01,333,"200,7",228,32,"47,445,278","-70,366,944","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DEG,<Nul>,3
608,Point,Station d'épuration de Saint-Irénée,15005-1,624,X0302016,<Nul>,Dégrillage,Dégrilleur fin,Petite,3,1999-12-01,605,"543,8",484,"30,2","47,558,611","-70,203,889","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG FIN; DEG,<Nul>,3
609,Point,Station d'épuration de Deschambault,34055-1,137,X0301963,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1999-06-01,918,"279,6",486,"52,9","46,658,611","-71,938,056",<Nul>,"Gignac, Ruisseau",EA (4 cell.),<Nul>,2
610,Point,Station d'épuration de Saint-Jean-de-l'Île-d'Orléans,20015-1,415,X2073005,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,1,2006-11-01,519,"93,8","173,8","27,3","46,919,722","-70,887,222","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",ERR (4 cell.),<Nul>,2
611,Point,Station d'épuration de Sainte-Famille,20010-1,799,X2061853,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2005-08-01,216,"74,1",89,"18,7","46,976,463","-70,963,015","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (4 cell.),<Nul>,0
612,Point,Station d'épuration de Saint-Raymond,34128-1,709,X2048667,Saint-Léonard-de-Portneuf,Étangs aérés,Étangs aérés,Moyenne,5,1997-12-01,5416,3013,5119,666,"46,884,722","-71,858,333","Sainte-Anne, Rivière","Sainte-Anne, Rivière",EA (3 cell.); PD,<Nul>,6
613,Point,Station d'épuration de Québec (Ouest),00020-2,824,X2048585,<Nul>,Biofiltration,Biofiltration,Très grande,8,1992-03-01,237015,"194811,8",157000,16700,"46,741,944","-71,326,667","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BF; DÉC PRIM; DÉG GR; DESS AÉRÉ; PP; PRD; UV,<Nul>,127
614,Point,Station d'épuration de Stoneham,20560-1,474,X2048515,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-07-01,3780,"744,5",1633,259,"469,775","-71,375,556","Hurons, Rivière des","Saint-Charles, Rivière",EA (3 cell.); PD,<Nul>,1
615,Point,Station d'épuration de Saint-Urbain,12400-1,513,X2048511,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-10-01,1130,"720,9",742,57,"47,558,256","-70,525,423","Gouffre, Rivière du","Gouffre, Rivière du",DÉG GR; EA (3 cell.),<Nul>,1
616,Point,Station d'épuration de Neuville,34007-1,571,X2048477,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2000-11-01,1367,"318,4",571,"78,9","46,706,111","-71,558,056","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",ERR (4 cell.),<Nul>,3
617,Point,Station d'épuration de Clermont,11480-1,131,X2048352,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1991-08-01,3852,"2195,2",1921,200,"47,694,444","-70,204,444","Malbaie, Rivière","Malbaie, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,4
618,Point,Station d'épuration de Baie-Saint-Paul (Riv.du-Gouffre),12350-1,8,X2048329,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1989-10-01,4587,"3927,8",4493,402,"47,451,389","-70,506,667","Gouffre, Rivière du","Gouffre, Rivière du",EA (4 cell.); PD,<Nul>,5
619,Point,Station d'épuration de Saint-Alban,34097-1,781,X2054532,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2006-05-01,785,"190,4",295,"39,2","46,710,156","-72,078,242","Sainte-Anne, Rivière","Sainte-Anne, Rivière",EA (3 cell.),<Nul>,1
